Feature,Beta,CI,p-value,FDR,Annotation 1,Annotation 2
ENZRXN1375.1480,0.00016,"(-0.0002,0.00052)",0.3949,0.719,23S rRNA m(5)U-1939 methyltransferase,a uracil1939 in 23S rRNA + S-adenosyl-L-methionine  <-->  a 5-methyluracil1939 in 23S rRNA + S-adenosyl-L-homocysteine + H+
ENZRXN1375.1486,0.0003,"(-0.00039,0.001)",0.3953,0.719,NA,NA
ENZRXN1375.438,0.00025,"(-0.00033,0.00084)",0.3955,0.719,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II,"a 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  a 2,3,4-saturated fatty acyl CoA + AMP + diphosphate"
ENZRXN1375.886,0.00102,"(-0.00132,0.00335)",0.3969,0.719,UTP-hexose-1-phosphate uridylyltransferase,alpha-D-galactose 1-phosphate + UTP + H+  <-->  UDP-alpha-D-galactose + diphosphate
ENZRXN1375.1485,0.0002,"(-0.00026,0.00067)",0.3969,0.719,diguanylate cyclase (GGDEF) domain,"2 GTP  <-->  cyclic di-3',5'-guanylate + 2 diphosphate"
ENZRXN1375.1411,0.00038,"(-0.0005,0.00126)",0.4006,0.721,Predicted ATPase (AAA+ superfamily),ATP + H2O  <-->  ADP + phosphate + H+
ENZRXN1375.919,-0.00033,"(-0.00109,0.00043)",0.4027,0.721,UDP-galactopyranose mutase,UDP-alpha-D-galactose  <-->  UDP-alpha-D-galactofuranose
ENZRXN1375.1268,0.00021,"(-0.00028,0.0007)",0.4046,0.721,"cob(I)yrinic acid a,c-diamide adenosyltransferase",cobinamide + ATP  <-->  adenosylcobinamide + PPPi
ENZRXN1375.1146,0.0002,"(-0.00027,0.00067)",0.4118,0.73,1-deoxy-D-xylulose-5-phosphate synthase,pyruvate + D-glyceraldehyde 3-phosphate + H+  <-->  1-deoxy-D-xylulose 5-phosphate + CO2
ENZRXN1375.1316,0.00019,"(-0.00028,0.00067)",0.4208,0.736,RNAse III,RNase III mRNA processing substrate + 2 H2O  <-->  RNase III processing product mRNA + 2 a single-stranded RNA
ENZRXN1375.1306,0.00022,"(-0.00031,0.00075)",0.4233,0.736,D-alanine--D-alanine ligase,2 D-alanine + ATP  <-->  D-alanyl-D-alanine + ADP + phosphate + H+
ENZRXN1375.170,-0.00027,"(-0.00092,0.00039)",0.424,0.736,ribose-phosphate pyrophosphokinase,D-ribose 5-phosphate + ATP  <-->  5-phospho-alpha-D-ribose 1-diphosphate + AMP + H+
ENZRXN1375.529,-0.0004,"(-0.00139,0.00058)",0.4247,0.736,[citrate (pro-3S)-lyase] ligase,[a holo citrate lyase acyl-carrier protein] + acetate + ATP  <-->  an acetyl-[holo citrate lyase acyl-carrier protein] + AMP + diphosphate
ENZRXN1375.468,-0.00049,"(-0.00171,0.00072)",0.4311,0.74,Deoxycytidylate deaminase,dCMP + H+ + H2O  <-->  ammonium + dUMP
ENZRXN1375.434,0.00022,"(-0.00033,0.00077)",0.4312,0.74,"Sugar kinases, ribokinase family",beta-D-fructofuranose + ATP  <-->  beta-D-fructofuranose 6-phosphate + ADP + H+
ENZRXN1375.1477,0.00016,"(-0.00024,0.00057)",0.4353,0.743,hydroxylamine reductase,ammonium + NAD+ + H2O  <-->  hydroxylamine + NADH + 2 H+
ENZRXN1375.212,0.00027,"(-0.00042,0.00097)",0.4403,0.744,NA,NA
ENZRXN1375.1017,0.00017,"(-0.00027,0.00062)",0.4417,0.744,tryptophanyl-tRNA synthetase,L-tryptophan + a tRNAtrp + ATP + H+  <-->  AMP + an L-tryptophanyl-[tRNAtrp] + diphosphate
ENZRXN1375.900,-0.00027,"(-0.00097,0.00042)",0.4425,0.744,glycerol kinase,glycerol + ATP  <-->  sn-glycerol 3-phosphate + ADP + H+
ENZRXN1375.985,0.00059,"(-0.00095,0.00214)",0.4528,0.752,"glucose-1-phosphate adenylyltransferase, GlgD subunit",alpha-D-glucose 1-phosphate + ATP + H+  <-->  ADP-alpha-D-glucose + diphosphate
ENZRXN1375.416,0.00014,"(-0.00022,0.0005)",0.4549,0.752,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine + D-alanyl-D-alanine + ATP  <-->  UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine + ADP + phosphate + H+
ENZRXN1375.586,0.00033,"(-0.00054,0.0012)",0.4558,0.752,3-oxoacyl-[acyl-carrier-protein] reductase,3-oxo-docosapentaenoyl-CoA + NAD(P)H + H+  <-->  3-hydroxy-docosapentaenoyl-CoA + NAD(P)+
ENZRXN1375.1277,0.00028,"(-0.00045,0.00101)",0.4582,0.752,Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase,adenosyl-cobinamide phosphate + GTP + H+  <-->  adenosylcobinamide-GDP + diphosphate
ENZRXN1375.1524,0.00026,"(-0.00042,0.00094)",0.459,0.752,Predicted oxidoreductases of the aldo/keto reductase family,"a (1',5'-dihydroxy-3'-oxo-2'-(3''-oxobutanoyl)cyclohexyl)-3,5-dioxohexanethioate-[PKS-acp] + NADP+  <-->  a (1'-hydroxy-3',5'-dioxo-2'-(3''-oxobutanoyl)cyclohexyl)-3,5-dioxohexanethioate-[PKS-acp] + NADPH + H+"
ENZRXN1375.1534,0.00049,"(-0.00081,0.00179)",0.4615,0.752,UDP-N-acetylenolpyruvoylglucosamine reductase,UDP-N-alpha-D-acetylmuramate + NADP+  <-->  UDP-N-acetyl-alpha-D-glucosamine-enolpyruvate + NADPH + H+
ENZRXN1375.1159,-0.00039,"(-0.00145,0.00066)",0.4662,0.756,ribosomal large subunit pseudouridine synthase D,a uridine38-40 in tRNA  <-->  a pseudouridine38-40 in tRNA
ENZRXN1375.507,0.00031,"(-0.00056,0.00118)",0.4823,0.776,phosphopantethiene--protein transferase domain,"an acyl-carrier protein + coenzyme A  <-->  adenosine 3',5'-bisphosphate + a holo-[acyl-carrier protein]"
ENZRXN1375.404,0.00039,"(-0.00069,0.00146)",0.4833,0.776,Citrate lyase beta subunit,a citryl-[holo citrate lyase acyl-carrier protein]  <-->  oxaloacetate + an acetyl-[holo citrate lyase acyl-carrier protein]
ENZRXN1375.1319,0.00027,"(-0.0005,0.00105)",0.4876,0.779,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ATP  <-->  2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ADP + H+
ENZRXN1375.3,-0.00019,"(-0.00073,0.00035)",0.4951,0.783,"Xaa-Pro aminopeptidase|Carbonic anhydrase|Threonine aldolase|His Kinase A (phosphoacceptor) domain./Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.|fructose-1,6-bisphosphate aldolase, class II, various bacterial and amitochondriate protist|fructose-1,6-bisphosphate aldolase, class II, various bacterial and amitochondriate protist|SOS-response transcriptional repressors (RecA-mediated autopeptidases)|L-serine dehydratase, iron-sulfur-dependent, alpha subunit|L-serine dehydratase, iron-sulfur-dependent, alpha subunit|L-serine ammonia-lyase|L-serine ammonia-lyase|acetolactate synthase, large subunit, biosynthetic type|acetolactate synthase, large subunit, biosynthetic type|acetolactate synthase, small subunit|acetolactate synthase, small subunit|ketol-acid reductoisomerase|ketol-acid reductoisomerase|dihydroxyacid dehydratase|dihydroxyacid dehydratase|ribose-5-phosphate isomerase|uracil phosphoribosyltransferase|phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase, prokaryotic|phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase, prokaryotic|pantothenate kinase, type III|Vitamin B12 dependent methionine synthase, activation domain.|Isopropylmalate/homocitrate/citramalate synthases|3-isopropylmalate dehydratase, large subunit|3-isopropylmalate dehydratase, large subunit|3-isopropylmalate dehydratase, large subunit|3-isopropylmalate dehydratase, small subunit|3-isopropylmalate dehydratase, small subunit|3-isopropylmalate dehydratase, small subunit|3-isopropylmalate dehydrogenase|3-isopropylmalate dehydrogenase|3-isopropylmalate dehydrogenase|L-threonine ammonia-lyase|L-threonine ammonia-lyase|phosphomethylpyrimidine kinase","a peptide + H2O  <-->  a standard alpha amino acid + a peptide|carbonic acid  <-->  CO2 + H2O|L-threonine  <-->  acetaldehyde + glycine|a [protein]-L-histidine + ATP  <-->  a [protein]-N-phospho-L-histidine + ADP + H+|beta-D-fructofuranose 1-phosphate  <-->  dihydroxyacetone phosphate + D-glyceraldehyde|fructose 1,6-bisphosphate  <-->  dihydroxyacetone phosphate + D-glyceraldehyde 3-phosphate|repressor LexA + H2O  <-->  cleaved repressor LexA|L-serine  <-->  pyruvate + ammonium|L-serine  <-->  2-aminoprop-2-enoate + H+ + H2O|L-serine  <-->  pyruvate + ammonium|L-serine  <-->  2-aminoprop-2-enoate + H+ + H2O|pyruvate + 2-oxobutanoate + H+  <-->  (S)-2-aceto-2-hydroxybutanoate + CO2|2 pyruvate + H+  <-->  (S)-2-acetolactate + CO2|pyruvate + 2-oxobutanoate + H+  <-->  (S)-2-aceto-2-hydroxybutanoate + CO2|2 pyruvate + H+  <-->  (S)-2-acetolactate + CO2|(R)-2,3-dihydroxy-3-methylpentanoate + NADP+  <-->  (S)-2-aceto-2-hydroxybutanoate + NADPH + H+|(R)-2,3-dihydroxy-3-methylbutanoate + NADP+  <-->  (S)-2-acetolactate + NADPH + H+|(R)-2,3-dihydroxy-3-methylpentanoate  <-->  (S)-3-methyl-2-oxopentanoate + H2O|(R)-2,3-dihydroxy-3-methylbutanoate  <-->  3-methyl-2-oxobutanoate + H2O|D-ribose 5-phosphate  <-->  D-ribulose 5-phosphate|UMP + diphosphate  <-->  5-phospho-alpha-D-ribose 1-diphosphate + uracil|D-4'-phosphopantothenate + L-cysteine + ATP  <-->  R-4'-phosphopantothenoyl-L-cysteine + AMP + diphosphate + H+|D-4'-phosphopantothenate + L-cysteine + CTP  <-->  R-4'-phosphopantothenoyl-L-cysteine + CMP + diphosphate + H+|(R)-pantothenate + ATP  <-->  D-4'-phosphopantothenate + ADP + H+|L-homocysteine + 5-methyl-tetrahydrofolate  <-->  L-methionine + tetrahydrofolate|3-methyl-2-oxobutanoate + acetyl-CoA + H2O  <-->  (2S)-2-isopropylmalate + coenzyme A + H+|(2R,3S)-3-isopropylmalate  <-->  (2S)-2-isopropylmalate|(2R,3S)-3-isopropylmalate  <-->  2-isopropylmaleate + H2O|(2S)-2-isopropylmalate  <-->  2-isopropylmaleate + H2O|(2R,3S)-3-isopropylmalate  <-->  (2S)-2-isopropylmalate|(2R,3S)-3-isopropylmalate  <-->  2-isopropylmaleate + H2O|(2S)-2-isopropylmalate  <-->  2-isopropylmaleate + H2O|(2R,3S)-3-isopropylmalate + NAD+  <-->  4-methyl-2-oxopentanoate + CO2 + NADH|(2R,3S)-3-isopropylmalate + NAD+  <-->  (2S)-2-isopropyl-3-oxosuccinate + NADH + H+|3-ethylmalate + NAD+  <-->  2-oxovalerate + CO2 + NADH|L-threonine  <-->  2-oxobutanoate + ammonium|L-threonine  <-->  (2Z)-2-aminobut-2-enoate + H2O + H+|4-amino-2-methyl-5-phosphomethylpyrimidine + ATP  <-->  4-amino-2-methyl-5-diphosphomethylpyrimidine + ADP"
ENZRXN1375.1532,-0.00021,"(-0.00079,0.00038)",0.4959,0.783,S-adenosylmethionine--tRNA ribosyltransferase-isomerase,a 7-aminomethyl-7-deazaguanosine34 in tRNA + S-adenosyl-L-methionine  <-->  an epoxyqueuosine34 in tRNA + adenine + L-methionine + 2 H+
ENZRXN1375.537,0.00039,"(-0.00073,0.0015)",0.4973,0.783,DNA-3-methyladenine glycosylase II,an alkylated DNA + H2O  <-->  DNAn + an alkylated nucleobase
ENZRXN1375.26,0.00031,"(-0.0006,0.00122)",0.5035,0.789,"acetolactate synthase, large subunit|alpha-1,4-glucan:alpha-1,4-glucan 6-glycosyltransferase|peptidase T|Uridine kinase|Uridine kinase|Uridine kinase|Uridine kinase|Methionine synthase I (cobalamin-dependent), methyltransferase domain|valyl-tRNA synthetase|anti-sigma F factor","2 pyruvate + H+  <-->  (S)-2-acetolactate + CO2|a 1,4-alpha-D-glucan  <-->  a glycogen|a tripeptide + H2O  <-->  a dipeptide + a standard alpha amino acid|uridine + GTP  <-->  UMP + GDP + H+|uridine + ATP  <-->  UMP + ADP + H+|cytidine + ATP  <-->  CMP + ADP + H+|cytidine + GTP  <-->  CMP + GDP + H+|L-homocysteine + 5-methyl-tetrahydrofolate  <-->  L-methionine + tetrahydrofolate|a tRNAval + L-valine + ATP + H+  <-->  an L-valyl-[tRNAval] + AMP + diphosphate|a [protein]-(L-serine/L-threonine) + ATP  <-->  a [protein] (L-serine/L-threonine) phosphate + ADP + H+"
ENZRXN1375.987,-0.00029,"(-0.00116,0.00058)",0.5115,0.796,"alpha-1,4-glucan:alpha-1,4-glucan 6-glycosyltransferase","a 1,4-alpha-D-glucan  <-->  a glycogen"
ENZRXN1375.1538,0.00054,"(-0.00107,0.00216)",0.5125,0.796,"Aspartate carbamoyltransferase, regulatory subunit",L-aspartate + carbamoyl-phosphate  <-->  N-carbamoyl-L-aspartate + phosphate + H+
ENZRXN1375.1505,-0.00028,"(-0.00116,0.00059)",0.5246,0.804,Beta-galactosidase/beta-glucuronidase,luteolin 7-O-beta-D-glucuronide + H2O  <-->  luteolin + beta-D-glucuronate + H+
ENZRXN1375.1042,-0.00019,"(-0.00079,0.0004)",0.5251,0.804,"monofunctional chorismate mutase, gram positive-type, clade 2",prephenate + H+  <-->  2-oxo-3-phenylpropanoate + CO2 + H2O
ENZRXN1375.516,-0.00045,"(-0.00183,0.00093)",0.5255,0.804,ribonucleoside-triphosphate reductase class III activase subunit,a [formate C acetyltransferase]-glycine + S-adenosyl-L-methionine + a reduced flavodoxin  <-->  a [formate C acetyltransferase]-glycin -2-yl radical + 5'-deoxyadenosine + L-methionine + a flavodoxin semiquinone
ENZRXN1375.1540,-0.00043,"(-0.00177,0.00091)",0.5283,0.805,"Oxaloacetate decarboxylase, gamma chain.",oxaloacetate + H+  <-->  pyruvate + CO2
ENZRXN1375.1459,0.00016,"(-0.00035,0.00067)",0.5351,0.811,"5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases",GMP + H2O  <-->  guanosine + phosphate
ENZRXN1375.956,0.00018,"(-0.00039,0.00075)",0.5397,0.812,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,a CDP-diacylglycerol + sn-glycerol 3-phosphate  <-->  CMP + an L-1-phosphatidylglycerol-phosphate + H+
ENZRXN1375.1541,-0.00012,"(-0.00052,0.00027)",0.5411,0.812,RNAse R,RNase R degradation substrate RNA + n-1 H2O  <-->  n-2 a nucleoside 5'-monophosphate + a diribonucleotide
ENZRXN1375.336,0.00019,"(-0.00042,0.0008)",0.5429,0.812,NA,NA
ENZRXN1375.1136,0.00013,"(-0.00029,0.00055)",0.5469,0.812,stage IV sporulation protein B,a SpoIVB peptidase Precursor + H2O  <-->  a SpoIVB peptidase
ENZRXN1375.527,-0.00087,"(-0.00368,0.00195)",0.5482,0.812,3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase,a DNA containing an apurinic/apyrimidinic site  <-->  a 5'-phosphopolynucleotide + a 3'-terminal unsaturated sugar
ENZRXN1375.549,0.00016,"(-0.00036,0.00067)",0.5525,0.815,3-oxoacyl-[acyl-carrier-protein] synthase III,a lignoceroyl-[acp] + malonyl-CoA + H+  <-->  a 3-oxo-cerotoyl-[acp] + CO2 + coenzyme A
